Status,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,Year,HOA,Open,Link
IN CONTRACT,370000,390150,319000,459000,,116 Malvern Hill Ln,3,3,2295,161,23,9583,Sqft,2004,33, ,https://www.movoto.com/home/116-malvern-hill-ln-morrisville-nc-27560-413_2332425
IN CONTRACT,410000,428013,393000,463000,,404 Star Magnolia Dr,4,4,2503,164,25,6098,Sqft,2006,57, ,https://www.movoto.com/home/404-star-magnolia-dr-morrisville-nc-27560-413_2267542
SALE PENDING,325000,,276000,328000,,1012 Excite Ave,3,3,2000,163,29,2962,Sqft,2019,140, ,https://www.movoto.com/home/1012-excite-ave-morrisville-nc-27560-413_2331243
IN CONTRACT,375000,402894,336000,482000,,1048 Gold Rock Ln,3,3,2487,151,30,4356,Sqft,2007,70, ,https://www.movoto.com/home/1048-gold-rock-ln-morrisville-nc-27560-413_2180300
IN CONTRACT,244000,245657,238000,259000,,1613 Grace Point Rd,3,3,1471,,,,,,, ,https://www.movoto.com/home/1613-grace-point-rd-morrisville-nc-27560-413_2331092
IN CONTRACT,420000,,421000,502000,10000,1940 Weaver Forest Way,4,3,2697,156,30,0.28,Acres,2010,49, ,https://www.movoto.com/home/1940-weaver-forest-way-morrisville-nc-27560-413_2331077
SALE PENDING,365000,,365000,453000,20000,1421 Hopedale Dr #45,3,4,2309,158,31,2265,Sqft,2020,90, ,https://www.movoto.com/home/1421-hopedale-dr-apt-45-morrisville-nc-27560-413_2330715
IN CONTRACT,285000,379743,285000,395000,,711 Keystone Park Dr #69,4,4,2247,127,34,1699,Sqft,2009,154, ,https://www.movoto.com/home/711-keystone-park-dr-apt-69-morrisville-nc-27560-413_2330393
SALE PENDING,240000,245726,236000,256000,,208 Tylerway Ln,3,3,1454,165,35,1742,Sqft,2003,132, ,https://www.movoto.com/home/208-tylerway-ln-morrisville-nc-27560-413_2330300
SALE PENDING,469900,515025,450000,589000,,108 Legislative Pl,4,3,2943,160,36,9583,Sqft,2010,40, ,https://www.movoto.com/home/108-legislative-pl-morrisville-nc-27560-413_2330045
IN CONTRACT,314800,362700,307000,421000,,127 Station Dr,4,3,2418,130,36,3920,Sqft,2011,30, ,https://www.movoto.com/home/127-station-dr-morrisville-nc-27560-413_2329850
SALE PENDING,389900,446880,391000,492000,,109 Cotten Square Ln,5,3,2660,147,36,5663,Sqft,2015,67, ,https://www.movoto.com/home/109-cotten-square-ln-morrisville-nc-27560-413_2253582
IN CONTRACT,325000,309750,243000,350000,,105 Downing Grove Ct,3,2,1750,186,40,9583,Sqft,2001,33, ,https://www.movoto.com/home/105-downing-grove-ct-morrisville-nc-27560-413_2329062
SALE PENDING,469900,550630,470000,579000,10000,112 Carter Grove Ct,5,3,3485,,,,,,, ,https://www.movoto.com/home/112-carter-grove-ct-morrisville-nc-27560-413_2328974
SALE PENDING,294000,312248,278000,336000,,252 Durants Neck Ln,3,3,1697,173,42,2614,Sqft,2015,130, ,https://www.movoto.com/home/252-durants-neck-ln-morrisville-nc-27560-413_2328960
IN CONTRACT,347000,360702,332000,388000,,120 Prestonian Pl,3,3,2073,167,43,2614,Sqft,1999,205, ,https://www.movoto.com/home/120-prestonian-pl-morrisville-nc-27560-413_2328662
SALE PENDING,300000,328992,280000,389000,,5539 Jessip St,3,3,2208,136,43,3136,Sqft,2016,143, ,https://www.movoto.com/home/5539-jessip-st-morrisville-nc-27560-413_2328568
IN CONTRACT,409900,407500,363000,455000,,2029 Kirkhaven Rd,3,3,2500,,,,,,, ,https://www.movoto.com/home/2029-kirkhaven-rd-morrisville-nc-27560-413_2328473
IN CONTRACT,405000,413036,393000,455000,5000,2212 Mayo Forest Ln,3,3,2444,166,45,0.30,Acres,2009,49, ,https://www.movoto.com/home/2212-mayo-forest-ln-morrisville-nc-27560-413_2328170
SALE PENDING,244000,246325,239000,260000,,1812 Grace Point Rd,3,3,1475,,,,,,, ,https://www.movoto.com/home/1812-grace-point-rd-morrisville-nc-27560-413_2328136
IN CONTRACT,369000,454424,370000,473000,19000,134 Prestonian Pl,3,3,2642,,,,,,, ,https://www.movoto.com/home/134-prestonian-pl-morrisville-nc-27560-413_2327714
SALE PENDING,328300,341642,327000,350000,,1048 Myers Point Dr,4,4,2122,155,49,1830,Sqft,2020,130, ,https://www.movoto.com/home/1048-myers-point-dr-morrisville-nc-27560-413_2327328
SALE PENDING,325000,341642,325000,350000,,1046 Myers Point Dr,4,4,2122,,,,,,, ,https://www.movoto.com/home/1046-myers-point-dr-morrisville-nc-27560-413_2327137
SALE PENDING,444990,549270,445000,589000,,421 Willingham Rd,5,4,3590,124,51,5663,Sqft,2004,40, ,https://www.movoto.com/home/421-willingham-rd-morrisville-nc-27560-413_2327006
IN CONTRACT,360000,354936,324000,382000,,1204 Midvale Ave,3,3,1929,187,51,3485,Sqft,2018,108, ,https://www.movoto.com/home/1204-midvale-ave-morrisville-nc-27560-413_2326788
SALE PENDING,325000,361580,325000,396000,,356 Durants Neck Ln,3,3,2020,161,53,2614,Sqft,2016,130, ,https://www.movoto.com/home/356-durants-neck-ln-morrisville-nc-27560-413_2326490
SALE PENDING,270000,284490,270000,286000,,1215 Neighborly Way,3,3,1635,165,55,1830,Sqft,2018,140, ,https://www.movoto.com/home/1215-neighborly-way-morrisville-nc-27560-413_2160592
IN CONTRACT,429900,493850,431000,524000,10000,155 Prestonian Pl,3,3,2975,,,,,,, ,https://www.movoto.com/home/155-prestonian-pl-morrisville-nc-27560-413_2326058
SALE PENDING,300000,356250,299000,397000,,439 Excalibur Dr,3,4,2375,126,60,3920,Sqft,2015,165, ,https://www.movoto.com/home/439-excalibur-dr-morrisville-nc-27560-413_2325185
SALE PENDING,230000,258384,231000,268000,,302 Walnut Woods Dr,3,3,1538,150,60,1307,Sqft,2004,70, ,https://www.movoto.com/home/302-walnut-woods-dr-morrisville-nc-27560-413_2325004
SALE PENDING,295000,,295000,353000,,5352 Jessip St,3,3,2005,147,62,2570,Sqft,2015,146, ,https://www.movoto.com/home/5352-jessip-st-morrisville-nc-27560-413_2324908
SALE PENDING,303000,344469,303000,350000,,402 Meeting Hall Dr,3,3,1731,175,63,3485,Sqft,2003,70, ,https://www.movoto.com/home/402-meeting-hall-dr-morrisville-nc-27560-413_2324688
IN CONTRACT,344999,350168,288000,414000,5000,300 Valley Glen Dr,3,3,2072,167,75,10454,Sqft,2002,33, ,https://www.movoto.com/home/300-valley-glen-dr-morrisville-nc-27560-413_2322217
IN CONTRACT,369900,416178,347000,498000,3000,1028 Gold Rock Ln,3,3,2569,,,,,,, ,https://www.movoto.com/home/1028-gold-rock-ln-morrisville-nc-27560-413_2188334
SALE PENDING,379900,494846,379000,525000,10000,900 Kirkeenan Cir,4,4,2981,127,86,3485,Sqft,2002,80, ,https://www.movoto.com/home/900-kirkeenan-cir-morrisville-nc-27560-413_2320281
IN CONTRACT,309990,358020,308000,394000,,1105 Garden Square Ln,3,3,1989,,,,,,, ,https://www.movoto.com/home/1105-garden-square-ln-morrisville-nc-27560-413_2319720
SALE PENDING,372500,434853,371000,473000,5000,134 Shadow Mountain Ln,4,3,2543,146,107,7405,Sqft,2001,40, ,https://www.movoto.com/home/134-shadow-mountain-ln-morrisville-nc-27560-413_2316130
SALE PENDING,394900,419925,382000,473000,4000,216 Kurtner Ct,4,3,2545,155,155,6970,Sqft,2004,40, ,https://www.movoto.com/home/216-kurtner-ct-morrisville-nc-27560-413_2305476
SALE PENDING,375000,372456,364000,386000,14000,1033 Urbana Dr #34,3,4,2217,169,163,2788,Sqft,2020,90, ,https://www.movoto.com/home/1033-urbana-dr-apt-34-morrisville-nc-27560-413_2305650
SALE PENDING,362900,376052,362000,388000,2000,484 Church St,4,4,2293,,,,,,, ,https://www.movoto.com/home/484-church-st-morrisville-nc-27560-413_2304377
SALE PENDING,349000,,349000,369000,9000,1404 Hopedale Dr #13,3,3,1866,187,178,2526,Sqft,2020,90, ,https://www.movoto.com/home/1404-hopedale-dr-apt-13-morrisville-nc-27560-413_2302646
SALE PENDING,350000,355503,336000,369000,3000,502 Church St,4,4,2181,160,197,2614,Sqft,2020,130, ,https://www.movoto.com/home/502-church-st-morrisville-nc-27560-413_2299300
SALE PENDING,329900,364056,331000,366000,11000,1412 Hopedale Dr #11,3,3,1848,179,225,2526,Sqft,2020,90, ,https://www.movoto.com/home/1412-hopedale-dr-apt-11-morrisville-nc-27560-413_2294471
SALE PENDING,338000,364056,338000,366000,1000,1420 Hopedale Dr #9,3,3,1848,,,,,,, ,https://www.movoto.com/home/1420-hopedale-dr-apt-9-morrisville-nc-27560-413_2294469
IN CONTRACT,475000,313992,284000,475000,360000,808 Church St,4,2,1764,269,280,2.50,Acres,1981,0, ,https://www.movoto.com/home/808-church-st-morrisville-nc-27560-413_2275343
